,query,intent
30,구정 때 사용하려 주문했는데 배송이 일주일도 더 걸린 대서 취소하려니 아니 배송이 일주일도 더 걸린다면서 무슨 배송비를 5천원이나 차감 하나요 ?,6
31,혹시 아직 배송 안 됐음 모빌 대경품 배송비 착불 말고선불로 가능한가요 ?,6
32,"상품가격 73 , 000과 사전 배송비 50 , 000 외에 더 추가되는 게 있음 ?",6
33,제주배송배송비가 어떻게 되나요 ?,6
34,주문을 하려 하니 배송비가 삼만칠천팔 백원이나 배송비가 왜 이런 건가요 ?,6
35,어피치 .  라이언 각각 하나씩 구매하려니 배송비가 각각 붙네요 왜 그럴까요 ?,6
36,복숭아 각 10개씩 구입할려니 배송비가 두번 나오는데 같은 판매자인데 합배송이 안 되는 건가요 ?,6
37,제주도로 선물 보내려고 하는데 추가 배송비가 있나요 ?,6
38,택배 비포함인 것으로 아는데 추가 택배는 무슨 말인가요 ?,6
39,무료 배송이라고 뜨는 데 배송비가 결제되었네요 ?,6
40,총 11미터 살 껀데 천안인데 배송비가 얼마인 가오 ?,6
41,칠만원 이상 주문했는데 배송비가 자꾸 붙어요 왜 그러죠 ?,6
42,제주도 추가 배송비나 오나요 ?,6
43,택배 비랑 택배사요청제가 하나요 ?,6
44,제주도 추가 배송비가 더 드나유 ?,6
45,두 가지 종류사는 데 제품 4500원에 배송료가 6000원이 말이 됩니까 ?,6
46,배송비는 어떻게 돼는 거죠 ?,6
47,7개 주문하려고 하는데 배송비 3000원에 한꺼번에 배송될 수 있는 거죠 ?,6
48,한 번에 액상 두 세트 주문하면 관세 발생 하나요 ?,6
49,순차 배송문의 답변제가 그럼 9통을 주문한다면 순차 배송해주신 다햇자나요구럼 배송비를 두 번 내야는 건 아닌지요 ?,6
50,2개는 배송비가 없네요 추가 1개 결제는 어떻게 해야 합니까 ?,6
51,배송비요 두 개를 주문하고 싶은데 근데 배송비가 두 배로 드는 건가요 ?,6
52,어제 일찍 주문했는데 아직도 결제 완료에요 ?,6
53,두제품 중 하나만 불량 확인이 된다면 불량 없는 다른 제품은 배송비 내야 한다는 말씀이신가요 ?,6
54,얼마 이상 사야 무료 배송비인가요 ?,6
55,3시 이전 당일 무료 배송이라는 데 결제 시 3천원 결제되던데 어케해야 하나요 ?,6
56,빠른 배송 써 있는데 왜 배송료가 발생하고 금요일 도착으로 나옵니까 ?,6
57,배송비가 배송비가 5만원이던 데이케아 매장 가서 사면 얼마인가요 ?,6
58,배송료 묶음배송 5만원 이상이면 무료 배송이라는 건가요 ?,6
59,추가 배송비가 있으면 연락을 주셔야 하는 거 아닌가요 ?,6
60,YG 2013 - 44왕관털 커플요거엄마꺼랑 같이 배송되는 금액인가요 ?,6
61,3 . 묶음 배송은 얼마부터 배송료 안 받나요 ?,6
62,얼마 이상 무료 배송은 없나요 ?,6
63,볼 풀 공주문하게 되면 제주도 추가 배송비 1박스 당 배송비가 붙나요 ?,6
64,합배송 물건값이 2만원 넘어도 배송비 내야 하나요 ?,6
65,확인해 보시고 모빌대 보내주세요 사은 품배송비는 어떻게 보내드려야 하는 건가요 ?,6
66,우디랑 버즈랑 같이 구매하면 배송요가 어떻게 되나요 ?,6
67,제주도도 선료가 있습니까 ?,6
68,"2개를 핑크 ,  블루 이렇게 주문하려는 데 배송비가 5천원이 나와요 .  어떻게 해야 하 ?",6
69,파스텔 20장 구매하면 배송비 만 원인가요 ?,6
70,제주 추가배송비는 얼마인지요 ?,6
71,추가 배송비 추가 배송비 내용은 아예 없는 거 같은데 왜 꼭 주문하고 나면 추가 배송비 내라는 거죠 ?,6
72,제주 추가배송비 있져 ?,6
73,차액료랑 배송료 바로 입금하면 되는지요 ?,6
74,1리터짜리 왜 직구가 빠른 배송보다 더 비싼 가요 ?,6
75,묶음배송할려는데 배송비 자체를 착불로 선택할 수 없게 무조건 주문 시선 결제라고 되어 있는데 어떻게 해야 하나요 ?,6
76,배송비가 수량별 차등인 더 1 - 8 . 1 묽음 10개 말하는 건가요 ?,6
77,추가 배송비 얼마인지 문의 드려요 .  두개 구매 예정인데 개당 배송료 부과인가요 ?,6
78,기간 완료되어 반납할 때 배송비 제가 부담 하나요 ?,6
79,제주도 추가 운임비 있나요 ?,6
80,제주도 추가 배송비 있나여 ?,6
81,배송비는 입금하면 되나유 ?,6
82,"배송비 캐미숄 ,  임부 내의와 해당 페이지의 브레지어를 같이 구매하였고 묶음 배송요청도 드렸고 브레지어에 대한 배송비가 따로 결제가 되서 그 부분은 별도 배송비 환불을 해주신다고 하셨잖아요 ?",6
83,배송비 별도 청구되는 건 없지요 ?,6
84,조건부 무료배송이면 얼마 이상 주문하면 무료 배송인가요 ?,6
85,3만원 이상 엉덩이 탐정 인형 . 보내주시나요 ?,6
86,혹시 제주도는 배송비 추가 인가요 ?,6
87,3만원 이상 무료 배송되어 있는데 왜 3천원이 붙나요 ?,6
88,배송비 결제 방식이 특이 신생아용 3팩과 남아 특대형 3팩을 동시 주문하려는 데 배송비를 왜 각각 별도로 부과 하나요 ?,6
89,제주도 추가 배송료 있음 ?,6
90,왕복 택배 비 무료인가요 ?,6
91,유모차랑 안전가드랑 같이 묶음 배송하는 데 추가 배송비가 3천+3천 총 6천원 2번 붙네요 ?,6
92,묶음 배송해서 무료 배송 안 되나요 ?,6
93,묶음 배송해주시고요 좁쌀배 게 무료배송이니 묶음배송하면 당근 배송비는 없는 거지요 ?,6
94,400 그람짜리 내수용 12통에 45000원 가격이 배송비 포함 정말 맞는 건지요 ?,6
95,빠른 배송으로 들어왔는데 주문하려고 하니 업체 배송으로 금액이 비싸졌습니다 .  빠른 배송품절입니까 ?,6
96,각각 2500원의 배송비가 청구되어서요 ?,6
97,제주입니다 배송비 5만원인가요 ?,6
98,제주도 추가 배송비 없나요 ?,6
99,무료 배송 제품과 같이 사면 배송비 무료인가요 ?,6
100,그 중에 한 상품이 무료 배송 건이 있거든요 그럼 나머지 상품도 같이 묶음 배송으로 무료 배송이 가능한 건가요 ?,6
101,배송비 얼마 이상 무료 배송인가요 ?,6
102,반납히 택배 비 발생 하나요 ?,6
103,배송비가 비싸서 그런가요 ?,6
104,2만원 이상 배송 2만원 이상 구매하는 데 배송비는 어떻 하나요 ?,6
105,반납 시 택배비는 얼마인가요 ?,6
106,레츄자만 배송비가 높은데 다른 이유가 있을까요 ?,6
107,제주도입니다 추가 배송료 있나요 ?,6
108,총 수량 23개를 구매하면 배송비가 두 배 세 배로 붙는 건가요 ?,6
109,금액은 다르던데 나머지 금액 어디로 받나요 ?,6
110,대여 반납 배송비 무료 맞나요 ?,6
111,한 달 대여하고 나서 반납할 때 배송료가 발생된다는 건가요 ?,6
112,같은 여리차니 마켓 제품인데 왜 배송비가 따로 붙죠 ?,6
113,상세 페이지에는 국제국내 배송비가 무료라 되잇는데 결제하려 하니 40000원 배송비가 붙네요 배송비가 있는 제품인가요 ?,6
114,배송비 문의 드려요킨더 밀쉬 1단계 구매하려고 하니 옵션에 6통이면 무료 배송이라고 적혀 있네요 6통 구매하면 무료 배송으로 체크하고 구매하면 되는 건가요 ?,6
115,장난합니까 ?,6
116,8개 사면 배송비 얼마에요 ?,6
117,배송비는 각각 부과됩니까 ?,6
118,"일단 보내주시면 배송비 지불하겠습니다 .  배송비는 2 , 500원이 맞지요 ?",6
119,제품 불량인데 왜 반품 택배비를요구하는 건가요 ?,6
120,리틀엔젤토이 판매자의 뉴레일 종합세트와 토마스 기차 1개같이 주문해도 무료 배송해 주시나요 ?,6
121,5000원 짤주머니랑 8000원 짤아기버선 그리고 어제 주문한 한복이랑 모자까지 묶음 배송해주세요 80000원 넘으니 무료 배송이죠 ?,6
122,슬라이스 치즈와 베이컨을 같이 주문하면 배송비 한번만 내면 되겠죠 ?,6
123,9통 172350원 구매 시 관세 부과 안 되나요 ?,6
124,제주도는 묶음배송금액 얼마부터 배송비 무료입니까 ?,6
125,제주도 배송비드나요 ?,6
126,두 개시키려는데 배송비를 각각 받는 이유가 뭡니까 ?,6
127,현대택배로 착불로 보내면 되죠 ?,6
128,빠른 배송 부탁드랴요 41510원이였는데 저번 달 이번 달 43100원이네 여 올랐나여 ? 아님 매달 쿠폰이 다른 가 여,6
129,제주도 왕복 배송료가 7000원인 가요 ?,6
130,25000원에 대여 기간은 얼마나 되나요 ?,6
131,제주도 배송비 얼마인가요 ?,6
132,왜 다른 묶음 배송 상품이랑 주문해도 배송비가 추가되나요 ?,6
133,다른 제품 같이 시켜도 배송비 드나요 ?,6
134,원래 껄로 받으려면 배송비를 제가 내지 않아도 되죠 ?,6
135,레깅스를 몇 개 구매하면서 패딩 바지를 한 개 구매해서 묶음으로 무료 배송으로 받고 싶은데 패딩 바지는 배송비가 발생하네요 묶음으로 무료 배송으로 받고 싶은데 방법이 없을까요 ?,6
136,제주도 선물로 보낼 껀데 추가 비용이 있나요 ?,6
137,택배상자는 뜯지도 않았어요 안에 5000원 동봉하면 되나요 ?,6
138,수량 16개로 하니 택배비가 9천원으로 나오는 게 맞음 ?,6
139,혹시 결제 방법이 택배용지에 적혀 있진 았는지요 ?,6
140,대형과 소형을 같이 주문하려고 하는데 배송비가 각각 추가되네요 맞는 건가요 ?,6
141,혹시 얼마 이상이면 배송비 무료가 될까요 ?,6
142,보낼 때 두 택배 무료인가요 ?,6
143,문의요 같은 제품인데 여긴 또 배송비가 무료 네염 무료 맞나요 ?,6
144,얼마 이상이 무료 배송인가요 ?,6
145,언제까지 결제해야 하나요 ?,6
146,착불로 하면 택배비안 낸다고 하셨죠 ?,6
147,제주도 추가 배송료 잇져 ?,6
148,2단계 넘어가려는 데 푸트라 1단계 3통 2단계 3통하니 카 배송비가 두 배로 나오네요 ?,6
149,흡착식판 베이지와 흡착볼민트장바구니 넣어놨는데 배송비 붙던데 어떻게 해야 하나요 ?,6
150,무료 배송 기준 만원 이상이면 무료 배송 아니였나요 ?,6
151,배송비 배송비는 금액 관계없이 25000원인 가요 ?,6
152,배송비가 책정되어 있는데 통관 당시 관세가 또 붙나요 ?,6
153,폴리 2개랑뽀로로 2개 구매하려고 장바구니 담으니 배송비가 따로 두번 표시되어 있던데 9800원 이상 면무 배 아닌가요 ?,6
154,뽀로로 음료수 내 맘대로 골라 담기에 2개마다 배송비가 부과되는 게 맞는 건가요 ?,6
155,배송료가 웬 말이에요 ?,6
156,배송비는 수취 후 지불인가요 ?,6
157,아직 반송된 물품 도착 안 하신 거 같은데도착하시면 착불 말고선 결제해주신 후에 제가 추가로 판매자 분계좌로 택배비 따로 보내드려도 될까요 ?,6
158,"한 상품은 배송비 무료고 ,  얘는 3M 단로 구매하려고 보니 배송비가 있네요 ,  묶음배송처리로 배송비 무료로 안 되나요 ?",6
159,묶음 배송해 주시고 이미 결제한 배송비는 포인트로 넣어주시는 거죠 ?,6
160,이틀 전에 3미터 신청하고 오늘 3미터 신청 더했어요 실리콘테이프 무료로 배송 가능한가요 ?,6
161,두 개같이 들어있는데 4000원만 보내도 되죠 ?,6
162,1단계 400G 이랑 800G 이랑 성분이랑 입자 차이 없이 똑같은 건가요 ?,10
163,이틀 이상을 무슨 한 곳에 머물러 있겠죠 ?,6
164,방금 50번가디건 주문했는데 7/4일 도착 가능할까요 ?,6
165,어떻개하죠 ?,6
166,5월 13일로 예약 구매 가능한가요 ?,6
167,주문했어 용 저도 초코초코+인견 부분은 동물원으로 해주실수 있나요 ?,6
168,왜 정기배송이 없는 건가요 ?,6
169,왜 배송이 안 되고 한 자리에만 계속 머물러 있습니까 ?,6
170,배송 확인 부탁드려요배송 중 놓친 건 아닌가요 ?,6
171,115폭 9M 주문하려면 9개 하면 쭉 연결되서 배송되니 ?,6
172,9월 28일날 접수되고 계속 멈춰있네요 .  언제 보내주실까요 ?,6
173,언제쯤 배송이 대 ?,6
174,왼손 교정용 젓가락 빠른 배송은 없겠죠 ?,6
175,오늘 입금하면 토요일 안에 도착할까요 ?,6
176,크리미워시 2개 키즈샴푸 2개 주문했어요 보내 주심 안 될까요 ?,6
177,조금 더 빠른 배송으로 보내주시면 안 될 가요 ?,6
178,정기배송 3묶음으로 주문했었는데 한 달에 4통은 먹는 듯해서요 4개통으로 정기배송 상품은 없나여 ?,6
179,2개는 정기배송 안 해주시나요 ?,6
180,배송 시작이라는데 왜 안 오죠 ?,6
181,배송 진짜 뭐 인가요 ?,6
182,하자 없는 새 제품으로 빠른 배송 부탁드립니다 언제 배송되나요 ?,6
183,배송 시 작떳는데 배송된 건가요 ?,6
184,아니 옐로우 색상은 빠른 배송이 안 되나요 ?,6
185,배송이 한 곳에만 머물러 있네요 이번 주 안에 받을수 있습니까 ?,6
186,빠른 배송인데 이것만 도착 안 했습니다 언제 배송될까 ?,6
187,대형 애완공룡+벌꿀+대형수리공투 이렇게 구매하려고 하는데 벌꿀+대형수리공투는 무료배송인데 대형 애완공룡은 배송비가 추가되더라구요 대형 애완공룡은 묶음배송이 안 될까 ?,6
188,프리미엄 제품은 정기 배송 안 되니 ?,6
189,정기배송은 안 하시겠죠 ?,6
190,언제 배송 돌까요 ?,6
191,지금 주문하면 내일 받을수 있나요 ?,6
192,수요일 도착이라더니 아직 안 오네요 언제 올까요 ?,6
193,랜덤 쟈켓 하나를 오전에 바지 두개와 오후에 주문했습니다 .  합배송 가능할까요 ?,6
194,오늘 도착 합니까 ?,6
195,골드 브라운 색상만 빠른 배송에 포함이 안 되는데 이유가 있나유 ?,6
196,3개 세트 주문했는데 언제 보내주시니 ?,6
197,언제 배송될까 ?,6
198,최대한 맞게 설치하려면 확장가드를 어떻게 구매해서 설치해야 할까요 ?,6
199,12일에 주문하였습니다 .  언제 받을수 있나요 ?,6
200,저기요안 전망도 대체 언제와요 ?,6
201,빠른 배송으론 안 나오나유 ?,6
202,운송장 번호는 어제 떴는데 왜 오는 도안 움직이죠 ?,6
203,왜 계속 배송 시작인 거죠 ?,6
204,따로는 배송료가 붙어 서 빠른 배송 상품으로 같이 해서 받고 싶은데 언제 빠른 배송으로 구매가 가능할까요 ?,6
205,교환상품 오늘 발송해 주실까요 ?,6
206,빠른 배송은 이 제안되나 여 ?,6
207,스푼 구매했는데 배송이 25일에 온다고 문자오던 데 더 일찍은 안 돼지 ?,6
208,어제 주문한 상품들도 오늘 다 받았는데 이 상품 택배는 멈추어 있네요 내일은 받을수 있나유 ?,6
209,지금 한국에 없습니다 .  그래서수령할 사람이 없는데 어떻게 해야 되지 ?,6
210,2시 이전이면 당일 출고랫는데 당일 출고되나요 ?,6
211,"4/23 오늘 주문하려고 하는데 배송 예정이 목요일로 나오는데 ,  배송을 금요일이나 토요일까지 받아야 하는데 받을수 있을까요 ?",6
212,163인데 확장 패널 45x2개 사려는데 이건 빠른 배송에 없쥬 ?,6
213,여기 제주인데요 .  이유식이 상하지 않고 올까요 ?,6
214,주문했습니다 ?,6
215,배송이 되긴 되는 건가요 ?,6
216,배송되었나유 ?,6
217,오긴 해요 ?,6
218,상품을 당신네 실수로 잘 보내고 고객을 더 기다리게 하는 게 맞는 건가요 ?,6
219,언제쯤 발송될까요 ?,6
220,배송됐나요 ?,6
221,보내주실 때 운송장 번호 조회하시면 6개씩 2가지 맛으로 12개만 보내진 1개의 운송장 번호만 나오지 않나유 ?,6
222,주문건은 금일 저희 컴앤바이에서 출고 진행해 드린 건으로 상품은 특별한 이슈가 없을 경우 금주말 다음주 초쯤수령하실 것으로 예상됩니다 .,6
223,최근 코로나 사태로 문의량 증가되어 다소 답변이 지연되는 점 양해 부탁드리며 순차적으로 안내드리는 점 참고 부탁드립니다 .,6
224,해외 배송은 지원하지 않습니다 .,6
225,월요일 발송 예정입니다 .  12일까지는 받아보실 것 같아요 .,6
226,그로미 미스테인레스빨대 컵 200ML 핑크 상품은 리뉴얼된 상품으로 배송되는 점 참고 부탁드립니다 .,6
227,주문해주신 제품은 오늘 출고되시구요 코지맘 안전벨트는 의자 헤드레스트가 있는 자리에 설치가 가능합니다 .,6
228,주문량 증가로 인해서 조금씩 지연되고 있어요 .  확인 후 빠른 출고도와 드리겠습니다 .,6
229,제조사고객센타를 통해 안내받으신 것으로 확인되며 추후 다른 문의가 있을 경우 문의를 남겨주시면 신속한 안내가 이루어질수 있도록 노력하겠습니다 .,6
230,미키마우스 1개 구매하시면 1개 상품만 출고됩니다 .  오후 2시 전까지 확인건은 당일 출고될 예정입니다 .,6
231,구매하신 상품 현재 코로나로 인해수요가 급증하여 입고 가 지연되고 있어요 .,6
232,지금 주문하시면 됩니다 12시 결제껀까지 금일 발송되요 .,6
233,건강기능식품은 국내법상 최대 6개까지만 통관이 가능하며 그 외 상품은 6개 이상 구매가 가능합니다 .,6
234,주문 내역 확인이 되어 오늘 출고 예정이며 볼 풀 공의 경우 부피가 커서 간혹 배송이 1 - 2일 정도 더 소요가 되는 경우가 있어요 .,6
235,15일 오후 11시 이후에 구매해 주셨고 17일은 임시공휴일로 업체 휴무인 날이였습니다 .,6
236,주문 주 신제품은 현재 문제 없이 배송되고 있는 제품이 오니 참고 부탁드립니다 .,6
237,정기배송이 없습니다 .,6
238,상품 문의를 구매하신 상품의 배송 관련 문의는 통해 처리되지 않는 점 양해 부탁드립니다 .,6
239,배송은 해당 제조사쪽에 문의 바랍니다 .,6
240,주문하신 상품은 오늘 정상 출고되어 빠르면 내일 경 받아 보실수 있어요 .,6
241,정기배송의 배송일변경은 매주 월/수요일 매월 3일 배송일로부터 5일 이내로는 변경이 어려운 점 양해 부탁드립니다 .,6
242,31일 날 출고되었습니다 .,6
243,현재 주문 내역이 4개만 보여서 4개만 발송이 됩니다 .,6
244,어제 출고되었습니다 .,6
245,현재 나비 잠매직 소프트밴드형 기저귀 아동 공용 소형 176매 상품의 제조일자는 2018년 7월 6일입니다 .,6
246,출고량이 많아 오늘이나 내일 중으로 출고되세요 .  오늘도 좋은 하루 보내세요 .,6
247,택배는 3시까지수집된 주문만 당일 배송됩니다 .,6
248,주문하신 상품은 오늘 오후 출고 예정이나 현재 갑자기 추워진 날씨에 주문량이 폭주하여 혹시 늦어지면 월요일에 출고될수 있어요 .,6
249,구매하신 상품 현재 코로나로 인해수요가 급증하여 입고 가 지연되고 있어요 .,6
250,출고 완료되어 송장번호로 조회 가능하십니다 .  기다려주셔서 감사해요 .,6
251,해당 제조사고객센터로 문의하여 주시기 바랍니다 .,6
252,구매해주신 상품 확인되 엇으며 금일 출고 예정입니다 .,6
253,광주지역 택배 배송 불가지역 분류가 되어 터미널에 도착한 물량이 지연되고 있는 것으로 보여집니다 .,6
254,두건으로 발송되요 .,6
255,네 금일 발송합니다 .,6
256,본사에서 입고되는 정품이 맞구요 .  제조일은 고객님께서 보셨듯이 투명하게 찍히는 방식과 검은색으로 찍히는 두 가지 방식이 있습니다 .,10
257,무형광 인증서라는 것은 존재하지 않습니다 .,10
258,판매자는 별도의수리 등은 불가능한 점 양해 부탁드립니다 .,10
259,마니 또 임페리얼 유모차 커버 상품은 레카로이지 라이프 유모차에 호환이 가능합니다 .,10
260,마니또 멜란지 알파소형 유모차 방풍 커버 상품은 2017년 리안레오 휴대용 유모차에 사용이 되는 점 참고하시어 소중한 구매 부탁드립니다 .,10
261,매직캔리필봉투 16L 상품은 매직캔의 모델명에 250이라 기재되어 있다면 호환이 가능한 점 참고 부탁드립니다 .,10
262,본 커버는 사용하시기 어렵구요 마니 또 소형 커버각 좌석에 하나씩 장착 가능합니다 .,10
263,렌 모델은 알파 소형 커버 제품과 호환 가능합니다 .,10
264,와이드 유축세트는 9S 제품에 사용하는 제품이 맞읍니다 .  9S 뿐 아니라 9+ S1 + S2 + Q 등의 제품에도 사용할수 있읍니다 .,10
265,매직 캔생분해리필봉투 250R 상품 이용 시 본체의 모델명이 250시리즈일 경우 호환이 가능하오니 이점 참고하시어 이용부탁드립니다 .,10
266,마더케이일회용 젖병 외출 패키지 세트 상품은 자사 제품 호환 및 더블하트 치코젖 꼭지 제품과 호환이 가능한 점 상품 페이지 내 안내드리고 있으니 참고하여 이용 부탁드립니다 .,10
267,20L 는 매직캔리필봉투 250R 10B 로 이용 가능하오니 참고하시어 사용 부탁드립니다 .,10
268,렌 유모차의 경우 알파소형 호환이 가능합니다 .  이 점 참고하시어 구매를 부탁드립니다 .,10
269,매직 캔생분해리필봉투 250R 상품 이용 시 본체의 모델명이 250시리즈일 경우 호환이 가능하오니 이점 참고하시어 이용부탁드립니다 .,10
270,마니또 멜란지 알파소형 유모차 방풍 커버 상품은 에어보스루카헨지 휴대용 유모차와 호환 가능한 점 참고하여 이용부탁드립니다 .,10
271,퀴니유모차의 경우 모델명에 따라 호환 타입이상이할수 있어 정확한 모델명을 확인해주시면 신속하게 답변이 진행될수 있도록 노력하겠습니다 .,10
272,퍼센트와이드 유축세트는 말씀하신 S2 +구매 시 기본 구성품에 포함된 유축세트와 같기 때문에 사용 가능하며 젖병은 열탕 소독 소독기 모두사용 가능합니다 .,10
273,M250 NS20 L 상품과 매직캔리필봉투 250R 10B 상품은 호환이 가능한 점 참고하시어 이용을 부탁드립니다 .,10
274,불포함입니다 .,12
275,오볼래 틀카 상품은 자체 케이스가 없는 상품으로 선물 포장이 되지 않는 점 고객님의 양해 부탁드립니다 .,12
276,네 리본 포장해서 쇼핑백 같이나갑니다 .,12
277,10698 클래식 라지 조립박스는 별도의 선물 포장 서비스가 준비되어 있지 않은 점 양해 부탁드리며 만족을 추 후보다 드릴수 있는 서비스로 찾아뵐수 있도록 노력하겠습니다 .,12
278,젤리캣 크림버니L봉제인형의 별도의 선물 포장 서비스는 준비하지 못한 점 양해 부탁드리며 추 후보다 만족스러운 서비스로 찾아뵐수 있도록 노력하겠습니다 .,12
279,선물포장은 불가합니다 .  현재 무지박스로 한 번 더 포장하여 발송해 드리고 있어요 .,12
280,오가닉 붐멜빵 우주복 80호 곰돌이 상품은 별도의 선물 포장이 준비되어 있지 않는 점 고객님의 양해부탁드립니다 .,12
281,오가닉 인형 애착토 상품은 별도의 선물 포장이 되지 않는 점 양해 부탁드립니다 .,12
282,밀리언 달러 베이비오가닉 애착토S 상품은 선물 포장 서비스가 별도로 준비되어 있지 않으며 추후 원하시는 구성을 포함한 다양한 상품으로 찾아뵐수 있도록 노력하겠습니다 .,12
283,문의 주시는 상품지점에 선물포장+쇼핑백 기재되어 있는 점포는 사이트 결제 시 선택하시어요청 가능합니다 .,12
284,네 별도로 준비되어 있진 않아요 .,12
285,텀스블랙 진공스텐텀블러 2P 화이트 블랙 500ML 상품은 포장 서비스가 별도로 준비되어 있지 않으며 추후 원하시는 구성을 포함한 다양한 상품으로 찾아뵐수 있도록 노력하겠습니다 .,12
286,레고 클래식 10692 브릭 혼합색상 상품은 쇼핑백 미 포함인 점 참고 부탁드립니다 .,12
287,카라즈시크릿 큐티4단 2P 유아폴더 매트 상품은 자체 박스로 포장되며 사이즈는 가로X세로 X 높이 : 37 . 4X 121 . 5X 42 . 5CM 인 점 참고 부탁드립니다 .,12
288,박스 크기는 가로 : 81CM 세로 : 42CM 높이 : 18 . 5CM 입니다 .,12
289,스윗하트 오가닉 라인 꽃 행복선물세트 상품은 쇼핑백이 포함되어 있지 않으며 제품 박스 포장이 되어 배송되는 점상세페이지 내 안내드리고 있으니 참고하시어 구매 부탁드립니다 .,12
290,스마일양말은 현재 3 5 6호 만 남아 있구요 .,12
291,엄마와 아이의 행복을 먼저 생각하는 엘루스 벤입니다 저희 제품은 더스트백에 포장되어 배송되며 별도의 선물 포장은 어려운 점 양해 부탁드립니다 .,12
292,네오팜에서는 최근 제조된 상품으로 출고해 드리고 있어요 .  별도 선물 포장이나 쇼핑백 제공이 되고 있지 않은 점 양해 부탁드리며 꼼꼼하게 검수하고 출고하겠습니다 .,12
293,해피오가닉 오가닉 꼬꼬랑 신생아 3종 세트사계절용 1세트 상품은 빠른 배송이며 쇼핑백이 포함되어 있지 않습니다 .,12
294,슈퍼대디스탠다드 슈퍼 S 유아물티슈 상품은 라벤더 오일이 포함되어 포장지 색상이 리뉴얼된 점 참고하시어 이용부탁드립니다 .,12
295,온라인몰 특성상 선물 포장은 되지 않은 점너른 양해부탁드립니다 .,12
296,먼저 배송으로 고객님께 불편을 드렸다면 죄송합니다,10
297,내 아이의 장난감이라 생각하고 꼼꼼히 검사 후 발송하겠습니다 .  모빌 사면 기본으로 고정판 드리고 오르골 및 모빌대는 포함되어 있지 않습니다 .,10
298,페넬로페 사은품은 팬티기저귀 8팩 구매 시 손입 티슈 20매 1팩을 제공해 드리는 행사를 진행했답니다,10
299,추가 구성 건강용품에 있습니다 .,10
300,박스 2개로 출고되나 출고량이 많아 기차 테이블은 오늘 출고되십니다 제품인 수는 5월 12일 13일 예정이십니다 .,10
301,제조사사이트에서 메똔 느 이유식용기 를 검색해 주시면 다양한 용량으로 확인 가능합니다 .,10
302,그네 포함 상품은 현재 출시되어 있습니다 .  상품 검색하시면 확인 가능합니다 .,10
303,상세페이지 내구성품을 미니띠네 생일파티 장식 스타풍선 세트 골드 1세트 상품은 풍선세트로 안 내드리고 있으며 공기주입기는 포함되지 않으니 참고 부탁드립니다 .,10
304,멜란지 패딩 제품은 다음 주 중으로 입고 예정입니다 .,10
305,구매하신 상품에는 공갈 젖꼭지 보호캡 홀더랑 같이 들어있습니다 .,10
306,스위트 오렌지베이비워시 160ML 상품은 기존 제품과 리뉴얼된 제품 중 랜덤 발송되며 비닐 포장은 없는 점 참고하시어 이용 부탁드립니다 .,10
307,네 사은품 부분에 대해서는 소진시 다른 상품으로 대체발송되는 부분입니다 .,10
